Number,Steps
35035,204
22229,131
4994,90
35775,111
42498,57
25989,126
22579,206
2109,81
39910,44
33204,98
4899,134
42580,57
3174,79
14487,58
36772,93
12759,81
28258,103
3561,48
40845,62
32351,147
43404,163
760,108
33391,67
36835,49
46324,57
45747,70
29161,240
47932,96
12572,107
48538,26
45153,207
17973,48
46568,145
5251,28
48649,70
3046,35
675,113
27532,108
669,69
24398,157
16508,172
25893,126
28104,59
13118,50
44011,75
42637,57
26714,95
42452,31
34274,28
47624,52
32081,160
10469,86
6063,142
5789,54
29261,121
26648,183
49175,52
13918,89
31667,147
42368,31
13230,76
25816,108
46250,52
16500,40
34438,173
18987,154
22332,69
11135,236
3260,136
28934,165
7059,57
19142,74
7000,31
16033,45
11136,37
47439,83
14434,45
20465,136
38414,199
8021,114
19647,105
3206,61
40811,36
36955,116
41407,225
23838,126
11941,143
36172,186
12718,81
19223,167
40266,93
20062,48
14358,120
3984,51
15347,58
46813,145
39973,75
24147,43
1082,44
32250,98
25726,126
20090,92
8569,78
25586,77
5154,28
17375,110
18845,61
32979,160
27167,38
388,120
3584,25
1739,55
37692,62
5607,67
4042,64
3477,30
39331,49
18664,35
33397,116
19098,105
45878,132
7128,49
39028,137
38372,124
5437,67
22513,175
36416,62
18610,92
31217,147
4165,126
21236,56
49130,65
46073,251
43916,132
29550,72
45581,70
26947,139
39253,44
43207,132
4714,121
33233,67
23982,82
41509,88
9710,122
11600,24
25202,157
3739,113
38293,75
44214,70
41696,106
23860,95
34316,80
33524,111
5419,41
21228,149
33261,204
29045,59
7892,52
7854,83
6582,137
40759,75
14303,102
18463,61
16286,159
9949,73
1146,106
15439,53
44146,119
8334,114
45810,194
16542,97
16024,146
20861,87
3781,38
28019,152
41112,57
19912,43
22404,69
49409,145
23578,100
577,30
1544,122
8753,78
11164,68
44335,119
34,13
22066,100
20556,56
37656,36
47303,52
47945,145
17789,185
12607,156
14528,19
24706,113
16695,66
18290,66
38912,31
27788,108
19974,167
